poseId, timestamp, T00, T01, T02, T03, T10, T11, T12, T13, T20, T21, T22, T23, T30, T31, T32, T33
0, 1322896290.000000, 1.000000, -0.000000, -0.000000, 0.000000, -0.000000, 1.000000, -0.000000, 0.000000, 0.000000, -0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000
1, 1322896620.000000, 0.993175, -0.116489, 0.005872, 0.614863, 0.116470, 0.993188, 0.003496, -0.014263, -0.006240, -0.002789, 0.999977, 0.008586, 0.000000, 0.000000, 0.000000, 1.000000
2, 1322896924.000000, 0.991780, -0.127771, 0.006847, 1.297589, 0.127783, 0.991801, -0.001350, 0.042680, -0.006618, 0.002213, 0.999976, 0.014311, 0.000000, 0.000000, 0.000000, 1.000000
3, 1322897051.000000, 0.996854, -0.078304, 0.012269, 1.964193, 0.078317, 0.996929, -0.000648, 0.136485, -0.012181, 0.001607, 0.999925, 0.018639, 0.000000, 0.000000, 0.000000, 1.000000
4, 1322897215.000000, 0.999274, 0.037468, 0.006898, 2.812297, -0.037460, 0.999297, -0.001468, 0.120490, -0.006948, 0.001208, 0.999976, 0.042837, 0.000000, 0.000000, 0.000000, 1.000000
5, 1322897454.000000, 0.972075, 0.234483, 0.009418, 3.384486, -0.234463, 0.972120, -0.003189, -0.064056, -0.009903, 0.000892, 0.999950, 0.046670, 0.000000, 0.000000, 0.000000, 1.000000
6, 1322897583.000000, 0.998869, 0.047345, 0.004267, 3.858148, -0.047347, 0.998879, 0.000181, -0.092867, -0.004253, -0.000382, 0.999991, 0.050097, 0.000000, 0.000000, 0.000000, 1.000000
7, 1322897718.000000, 0.949981, 0.312305, 0.001469, 4.363229, -0.312297, 0.949975, -0.004227, 0.008790, -0.002716, 0.003558, 0.999990, 0.056151, 0.000000, 0.000000, 0.000000, 1.000000
8, 1322898023.000000, 0.546827, 0.837234, -0.004446, 4.683076, -0.837190, 0.546722, -0.014409, -0.234945, -0.009632, 0.011601, 0.999886, 0.058756, 0.000000, 0.000000, 0.000000, 1.000000
9, 1322898197.000000, -0.614962, 0.788349, -0.018088, 4.523384, -0.788227, -0.615207, -0.014774, -0.533679, -0.022775, 0.005172, 0.999727, 0.055516, 0.000000, 0.000000, 0.000000, 1.000000
10, 1322898410.000000, -0.997408, -0.067834, -0.024007, 4.034687, 0.067958, -0.997678, -0.004441, -0.664430, -0.023650, -0.006060, 0.999701, 0.049609, 0.000000, 0.000000, 0.000000, 1.000000
11, 1322898574.000000, -0.986493, 0.163184, -0.014206, 3.482690, -0.163116, -0.986590, -0.005868, -0.642510, -0.014974, -0.003471, 0.999882, 0.043323, 0.000000, 0.000000, 0.000000, 1.000000
12, 1322898815.000000, -0.524632, 0.851243, -0.012105, 3.081213, -0.851068, -0.524771, -0.017258, -0.802960, -0.021043, 0.001248, 0.999778, 0.041796, 0.000000, 0.000000, 0.000000, 1.000000
13, 1322899529.000000, -0.006531, 0.999967, -0.004927, 3.052156, -0.999913, -0.006586, -0.011432, -1.301093, -0.011464, 0.004852, 0.999923, 0.036515, 0.000000, 0.000000, 0.000000, 1.000000
14, 1322899896.000000, -0.026802, 0.999619, -0.006507, 3.024551, -0.999464, -0.026920, -0.018625, -1.987859, -0.018793, 0.006004, 0.999806, 0.034219, 0.000000, 0.000000, 0.000000, 1.000000
15, 1322900162.000000, -0.025830, 0.999650, -0.005643, 3.083309, -0.999592, -0.025897, -0.012064, -2.588088, -0.012207, 0.005330, 0.999912, 0.034700, 0.000000, 0.000000, 0.000000, 1.000000
16, 1322900318.000000, 0.042159, 0.999095, -0.005614, 3.054838, -0.999005, 0.042071, -0.014790, -3.216584, -0.014541, 0.006231, 0.999876, 0.034622, 0.000000, 0.000000, 0.000000, 1.000000
17, 1322900552.000000, -0.659141, 0.751895, -0.013682, 2.930775, -0.751815, -0.659278, -0.011217, -3.907358, -0.017454, 0.002894, 0.999844, 0.032688, 0.000000, 0.000000, 0.000000, 1.000000
18, 1322900812.000000, -0.815129, 0.579025, -0.017181, 2.691342, -0.578923, -0.815309, -0.010889, -4.337039, -0.020311, 0.001070, 0.999794, 0.031686, 0.000000, 0.000000, 0.000000, 1.000000
19, 1322901145.000000, -0.987191, -0.157519, -0.025357, 2.188667, 0.157538, -0.987513, 0.001240, -4.653309, -0.025235, -0.002771, 0.999678, 0.027409, 0.000000, 0.000000, 0.000000, 1.000000
20, 1322901452.000000, -0.998494, 0.050259, -0.021989, 1.629399, -0.050202, -0.998734, -0.003105, -4.676865, -0.022118, -0.001997, 0.999754, 0.022736, 0.000000, 0.000000, 0.000000, 1.000000
21, 1322901651.000000, -0.623812, -0.781288, -0.021146, 1.199280, 0.781195, -0.624124, 0.014293, -4.674847, -0.024365, -0.007602, 0.999675, 0.020368, 0.000000, 0.000000, 0.000000, 1.000000
22, 1322901882.000000, 0.082300, -0.996531, -0.012400, 1.053268, 0.996525, 0.082126, 0.013934, -4.564451, -0.012866, -0.013503, 0.999827, 0.017718, 0.000000, 0.000000, 0.000000, 1.000000
23, 1322902081.000000, 0.815122, -0.579283, -0.002938, 1.275708, 0.579275, 0.815051, 0.011539, -4.358802, -0.004290, -0.011107, 0.999930, 0.018343, 0.000000, 0.000000, 0.000000, 1.000000
24, 1322902238.000000, 0.998246, -0.058316, 0.010263, 1.845174, 0.058290, 0.998295, 0.002796, -4.454578, -0.010409, -0.002193, 0.999944, 0.024356, 0.000000, 0.000000, 0.000000, 1.000000
25, 1322902461.000000, 0.931395, -0.364003, 0.002319, 2.390285, 0.363989, 0.931389, 0.005047, -4.441791, -0.003998, -0.003857, 0.999985, 0.028893, 0.000000, 0.000000, 0.000000, 1.000000
26, 1322902762.000000, 0.488137, -0.872764, 0.002687, 2.905817, 0.872688, 0.488131, 0.012000, -4.223605, -0.011785, -0.003512, 0.999925, 0.033687, 0.000000, 0.000000, 0.000000, 1.000000
27, 1322903017.000000, -0.045174, -0.998926, -0.010349, 3.099249, 0.998845, -0.045336, 0.015917, -3.653828, -0.016369, -0.009617, 0.999821, 0.032941, 0.000000, 0.000000, 0.000000, 1.000000
28, 1322903302.000000, 0.321537, -0.946896, -0.001678, 3.049001, 0.946762, 0.321460, 0.017495, -3.028181, -0.016027, -0.007214, 0.999846, 0.034157, 0.000000, 0.000000, 0.000000, 1.000000
29, 1322903493.000000, 0.855383, -0.517954, 0.006569, 3.124279, 0.517907, 0.855402, 0.007719, -2.566561, -0.009618, -0.003201, 0.999950, 0.034792, 0.000000, 0.000000, 0.000000, 1.000000
30, 1322904413.000000, 0.999591, 0.026377, 0.011054, 3.652168, -0.026457, 0.999624, 0.007182, -2.658570, -0.010862, -0.007471, 0.999914, 0.035727, 0.000000, 0.000000, 0.000000, 1.000000
31, 1322904605.000000, 0.928929, 0.370254, -0.000937, 4.203203, -0.370255, 0.928931, -0.000993, -2.869782, 0.000503, 0.001268, 0.999999, 0.040162, 0.000000, 0.000000, 0.000000, 1.000000
32, 1322904909.000000, 0.914014, 0.405675, 0.002630, 4.649651, -0.405660, 0.914012, -0.004926, -3.112247, -0.004403, 0.003436, 0.999985, 0.044852, 0.000000, 0.000000, 0.000000, 1.000000
33, 1322905113.000000, 0.605786, 0.795626, -0.000819, 5.012611, -0.795605, 0.605761, -0.008179, -3.315176, -0.006011, 0.005606, 0.999967, 0.049751, 0.000000, 0.000000, 0.000000, 1.000000
34, 1322905333.000000, -0.374468, 0.927133, -0.014100, 5.273606, -0.927094, -0.374635, -0.012030, -3.591879, -0.016435, 0.008568, 0.999828, 0.052030, 0.000000, 0.000000, 0.000000, 1.000000
35, 1322905586.000000, -0.974117, 0.224682, -0.024761, 5.082222, -0.224620, -0.974432, -0.005287, -3.752628, -0.025315, 0.000411, 0.999679, 0.049445, 0.000000, 0.000000, 0.000000, 1.000000
36, 1322905815.000000, -0.901187, -0.432970, -0.019951, 4.805883, 0.432915, -0.901406, 0.007203, -3.555725, -0.021102, -0.002145, 0.999775, 0.047230, 0.000000, 0.000000, 0.000000, 1.000000
37, 1322906038.000000, -0.688131, -0.725372, -0.017686, 4.657316, 0.725342, -0.688327, 0.009228, -3.093337, -0.018868, -0.006478, 0.999801, 0.045585, 0.000000, 0.000000, 0.000000, 1.000000
38, 1322906319.000000, -0.852627, -0.521987, -0.023591, 4.236433, 0.521937, -0.852938, 0.008714, -2.865821, -0.024670, -0.004884, 0.999684, 0.040956, 0.000000, 0.000000, 0.000000, 1.000000
39, 1322906502.000000, -0.985012, -0.171767, -0.015628, 3.641741, 0.171725, -0.985137, 0.003937, -2.686317, -0.016073, 0.001195, 0.999870, 0.035451, 0.000000, 0.000000, 0.000000, 1.000000
40, 1322906689.000000, -0.998044, -0.059096, -0.020395, 3.074733, 0.059123, -0.998250, -0.000747, -2.649045, -0.020315, -0.001952, 0.999791, 0.033770, 0.000000, 0.000000, 0.000000, 1.000000
41, 1322906863.000000, -0.995527, -0.026728, -0.090608, 2.557581, 0.027149, -0.999625, -0.003432, -2.650813, -0.090483, -0.005876, 0.995881, 0.006240, 0.000000, 0.000000, 0.000000, 1.000000
42, 1322907026.000000, -0.981276, -0.191188, -0.023321, 1.940279, 0.191245, -0.981542, -0.000182, -2.619659, -0.022856, -0.004639, 0.999728, -0.010920, 0.000000, 0.000000, 0.000000, 1.000000
43, 1322907284.000000, -0.964770, -0.262521, -0.017364, 1.318268, 0.262591, -0.964904, -0.001927, -2.497429, -0.016248, -0.006418, 0.999847, -0.011934, 0.000000, 0.000000, 0.000000, 1.000000
44, 1322907458.000000, -0.994230, -0.106091, -0.015866, 0.665662, 0.106106, -0.994355, -0.000150, -2.470099, -0.015760, -0.001834, 0.999874, -0.014744, 0.000000, 0.000000, 0.000000, 1.000000
