poseId, timestamp, T00, T01, T02, T03, T10, T11, T12, T13, T20, T21, T22, T23, T30, T31, T32, T33
0, 1314081834.000000, 1.000000, -0.000000, -0.000000, 0.000000, -0.000000, 1.000000, -0.000000, 0.000000, 0.000000, -0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000
1, 1314082165.000000, 0.995578, 0.093922, 0.001557, 0.578136, -0.093920, 0.995579, -0.001003, -0.113706, -0.001643, 0.000852, 0.999998, 0.010403, 0.000000, 0.000000, 0.000000, 1.000000
2, 1314082290.000000, 0.999982, 0.004789, 0.003507, 1.056298, -0.004786, 0.999988, -0.000586, -0.195226, -0.003511, 0.000570, 0.999994, 0.019855, 0.000000, 0.000000, 0.000000, 1.000000
3, 1314082432.000000, 0.999591, 0.028568, 0.001389, 1.621489, -0.028568, 0.999592, -0.000098, -0.200237, -0.001392, 0.000058, 0.999999, 0.029292, 0.000000, 0.000000, 0.000000, 1.000000
4, 1314082524.000000, 0.997831, 0.065599, 0.005473, 2.208706, -0.065601, 0.997845, 0.000118, -0.293896, -0.005454, -0.000477, 0.999985, 0.039847, 0.000000, 0.000000, 0.000000, 1.000000
5, 1314082607.000000, 0.998114, 0.061354, -0.001895, 2.748639, -0.061356, 0.998115, -0.000904, -0.408980, 0.001836, 0.001019, 0.999997, 0.051285, 0.000000, 0.000000, 0.000000, 1.000000
6, 1314082690.000000, 0.998769, 0.049326, 0.005129, 3.285443, -0.049316, 0.998781, -0.002126, -0.474823, -0.005228, 0.001870, 0.999985, 0.062851, 0.000000, 0.000000, 0.000000, 1.000000
7, 1314082774.000000, 0.997261, 0.073826, 0.004466, 3.883179, -0.073813, 0.997267, -0.003184, -0.520076, -0.004689, 0.002845, 0.999985, 0.073541, 0.000000, 0.000000, 0.000000, 1.000000
8, 1314082858.000000, 0.997951, 0.063942, 0.002408, 4.487614, -0.063939, 0.997953, -0.001378, -0.598294, -0.002492, 0.001221, 0.999996, 0.084998, 0.000000, 0.000000, 0.000000, 1.000000
9, 1314083060.000000, 0.997609, 0.068917, 0.005175, 5.085894, -0.068919, 0.997622, 0.000297, -0.640123, -0.005142, -0.000653, 0.999987, 0.096079, 0.000000, 0.000000, 0.000000, 1.000000
10, 1314083175.000000, 0.999618, 0.027354, 0.003763, 5.668019, -0.027344, 0.999622, -0.002778, -0.706506, -0.003837, 0.002673, 0.999989, 0.107561, 0.000000, 0.000000, 0.000000, 1.000000
11, 1314083546.000000, 0.999617, 0.026739, 0.007018, 6.278525, -0.026732, 0.999642, -0.001116, -0.702577, -0.007046, 0.000929, 0.999975, 0.119037, 0.000000, 0.000000, 0.000000, 1.000000
12, 1314083718.000000, 0.999490, 0.031875, 0.001529, 6.892066, -0.031879, 0.999489, 0.002498, -0.756890, -0.001448, -0.002546, 0.999996, 0.130011, 0.000000, 0.000000, 0.000000, 1.000000
13, 1314083816.000000, 0.997257, 0.073981, 0.002623, 7.622423, -0.073975, 0.997257, -0.002585, -0.854649, -0.002807, 0.002383, 0.999994, 0.146446, 0.000000, 0.000000, 0.000000, 1.000000
