poseId, timestamp, T00, T01, T02, T03, T10, T11, T12, T13, T20, T21, T22, T23, T30, T31, T32, T33
0, 1314852153.000000, 1.000000, -0.000000, -0.000000, 0.000000, -0.000000, 1.000000, -0.000000, 0.000000, 0.000000, -0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000
1, 1314852288.000000, 0.936928, 0.001239, 0.349520, 0.722394, 0.011530, 0.999340, -0.034450, 0.090274, -0.349333, 0.036306, 0.936296, -0.019042, 0.000000, 0.000000, 0.000000, 1.000000
2, 1314852841.000000, 0.985411, 0.037685, 0.165968, 1.369563, -0.032807, 0.998948, -0.032037, 0.342968, -0.167001, 0.026125, 0.985611, -0.049411, 0.000000, 0.000000, 0.000000, 1.000000
3, 1314852967.000000, 0.997147, -0.061226, 0.044135, 2.283705, 0.063444, 0.996696, -0.050711, 0.404497, -0.040885, 0.053367, 0.997738, 0.002833, 0.000000, 0.000000, 0.000000, 1.000000
4, 1314853131.000000, 0.825065, -0.564297, -0.028920, 2.525021, 0.563932, 0.825572, -0.020268, 0.483612, 0.035314, 0.000413, 0.999376, 0.048196, 0.000000, 0.000000, 0.000000, 1.000000
5, 1314853240.000000, 0.652807, -0.757342, -0.016616, 3.020321, 0.756522, 0.650659, 0.065719, 0.961760, -0.038960, -0.055472, 0.997700, 0.146028, 0.000000, 0.000000, 0.000000, 1.000000
6, 1314853417.000000, 0.742794, -0.663782, 0.087476, 3.460816, 0.624299, 0.733888, 0.267691, 1.434257, -0.241886, -0.144228, 0.959526, 0.149665, 0.000000, 0.000000, 0.000000, 1.000000
7, 1314853702.000000, 0.721741, -0.646186, 0.248060, 3.899572, 0.584203, 0.760906, 0.282364, 1.738779, -0.371209, -0.058876, 0.926681, 0.068233, 0.000000, 0.000000, 0.000000, 1.000000
8, 1314853820.000000, 0.680680, -0.726647, 0.093048, 4.165992, 0.718403, 0.686968, 0.109418, 2.018524, -0.143429, -0.007632, 0.989631, 0.041763, 0.000000, 0.000000, 0.000000, 1.000000
9, 1314853938.000000, 0.754986, -0.652038, -0.069589, 4.622493, 0.652130, 0.757710, -0.024536, 2.590607, 0.068726, -0.026856, 0.997274, 0.119048, 0.000000, 0.000000, 0.000000, 1.000000
10, 1314854046.000000, 0.586444, -0.809853, 0.014879, 5.171966, 0.807373, 0.585926, 0.069561, 3.118567, -0.065052, -0.028781, 0.997467, 0.236282, 0.000000, 0.000000, 0.000000, 1.000000
11, 1314854164.000000, 0.644435, -0.764299, 0.023462, 5.762061, 0.763164, 0.644791, 0.042736, 3.719926, -0.047792, -0.009635, 0.998811, 0.342696, 0.000000, 0.000000, 0.000000, 1.000000
12, 1314854313.000000, 0.677323, -0.730875, -0.083995, 6.267154, 0.735277, 0.668717, 0.110388, 4.255704, -0.024512, -0.136529, 0.990333, 0.464806, 0.000000, 0.000000, 0.000000, 1.000000
13, 1314854933.000000, 0.679876, -0.730888, -0.059754, 6.757524, 0.733325, 0.677401, 0.057995, 4.684823, -0.001910, -0.083248, 0.996527, 0.567511, 0.000000, 0.000000, 0.000000, 1.000000
14, 1314855043.000000, 0.841037, -0.537775, -0.058766, 7.509404, 0.536587, 0.843087, -0.035753, 5.048060, 0.068772, -0.001463, 0.997631, 0.748427, 0.000000, 0.000000, 0.000000, 1.000000
15, 1314855172.000000, 0.998008, -0.059138, -0.021976, 8.165229, 0.057510, 0.995994, -0.068469, 5.484739, 0.025938, 0.067069, 0.997411, 0.925295, 0.000000, 0.000000, 0.000000, 1.000000
