poseId, timestamp, T00, T01, T02, T03, T10, T11, T12, T13, T20, T21, T22, T23, T30, T31, T32, T33
0, 1314325588.000000, 1.000000, -0.000000, -0.000000, 0.000000, -0.000000, 1.000000, -0.000000, 0.000000, 0.000000, -0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000
1, 1314325676.000000, 0.988301, 0.152454, 0.004305, 0.423241, -0.152258, 0.987881, -0.030163, -0.050820, -0.008851, 0.029155, 0.999535, 0.067046, 0.000000, 0.000000, 0.000000, 1.000000
2, 1314326022.000000, 0.978403, 0.206670, 0.003899, 0.880643, -0.206368, 0.977703, -0.038854, -0.111759, -0.011842, 0.037209, 0.999237, 0.138455, 0.000000, 0.000000, 0.000000, 1.000000
3, 1314326150.000000, 0.999587, 0.028383, 0.004414, 1.305525, -0.028344, 0.999559, -0.008829, -0.196437, -0.004663, 0.008701, 0.999951, 0.202978, 0.000000, 0.000000, 0.000000, 1.000000
4, 1314326237.000000, 0.999689, -0.024946, -0.000142, 1.696717, 0.024945, 0.999682, -0.003660, -0.250457, 0.000233, 0.003655, 0.999993, 0.262767, 0.000000, 0.000000, 0.000000, 1.000000
5, 1314326366.000000, 0.997080, 0.057707, 0.050006, 2.157853, -0.056838, 0.998209, -0.018628, -0.251215, -0.050992, 0.015732, 0.998575, 0.319194, 0.000000, 0.000000, 0.000000, 1.000000
6, 1314326459.000000, 0.999887, -0.015037, -0.000395, 2.573530, 0.015034, 0.999862, -0.007041, -0.295016, 0.000501, 0.007035, 0.999975, 0.376459, 0.000000, 0.000000, 0.000000, 1.000000
7, 1314326564.000000, 0.998741, -0.049723, 0.006652, 3.004225, 0.049726, 0.998762, -0.000272, -0.333036, -0.006631, 0.000603, 0.999978, 0.442686, 0.000000, 0.000000, 0.000000, 1.000000
8, 1314326674.000000, 0.998740, -0.049886, 0.005343, 3.451389, 0.049878, 0.998753, 0.001900, -0.314120, -0.005431, -0.001631, 0.999983, 0.513332, 0.000000, 0.000000, 0.000000, 1.000000
9, 1314326789.000000, 0.999455, -0.033007, 0.000230, 3.752478, 0.033007, 0.999455, -0.000129, -0.262936, -0.000226, 0.000137, 1.000000, 0.562526, 0.000000, 0.000000, 0.000000, 1.000000
10, 1314326892.000000, 0.919769, 0.012179, -0.392271, 3.825217, -0.015700, 0.999860, -0.005767, -0.232404, 0.392146, 0.011463, 0.919832, 0.696638, 0.000000, 0.000000, 0.000000, 1.000000
11, 1314327090.000000, 0.618691, 0.020330, -0.785371, 3.951124, -0.028446, 0.999589, 0.003466, -0.231564, 0.785120, 0.020196, 0.619015, 0.781822, 0.000000, 0.000000, 0.000000, 1.000000
12, 1314327270.000000, 0.621128, 0.021642, -0.783410, 4.102665, -0.029020, 0.999568, 0.004605, -0.223106, 0.783172, 0.019874, 0.621488, 1.009756, 0.000000, 0.000000, 0.000000, 1.000000
13, 1314327395.000000, 0.621515, -0.001695, -0.783400, 4.305057, -0.013496, 0.999826, -0.012870, -0.266146, 0.783286, 0.018572, 0.621384, 1.244180, 0.000000, 0.000000, 0.000000, 1.000000
14, 1314327578.000000, 0.616552, 0.008469, -0.787269, 4.488631, -0.022706, 0.999718, -0.007027, -0.256850, 0.786987, 0.022208, 0.616570, 1.477456, 0.000000, 0.000000, 0.000000, 1.000000
15, 1314327747.000000, 0.937009, -0.013747, -0.349032, 4.803055, 0.007075, 0.999767, -0.020386, -0.290108, 0.349232, 0.016632, 0.936889, 1.678004, 0.000000, 0.000000, 0.000000, 1.000000
16, 1314327868.000000, 0.999800, -0.016937, -0.010587, 5.169656, 0.016835, 0.999812, -0.009717, -0.328961, 0.010750, 0.009536, 0.999896, 1.806415, 0.000000, 0.000000, 0.000000, 1.000000
17, 1314327972.000000, 0.999217, -0.039575, -0.000263, 5.721471, 0.039575, 0.999217, -0.000112, -0.358181, 0.000267, 0.000101, 1.000000, 1.895700, 0.000000, 0.000000, 0.000000, 1.000000
18, 1314328078.000000, 0.995522, -0.094465, -0.003699, 6.134064, 0.094503, 0.995453, 0.011954, -0.343912, 0.002553, -0.012251, 0.999921, 1.963218, 0.000000, 0.000000, 0.000000, 1.000000
19, 1314328194.000000, 0.990090, -0.104075, 0.094284, 6.662969, 0.102998, 0.994549, 0.016231, -0.287838, -0.095459, -0.006359, 0.995413, 2.013734, 0.000000, 0.000000, 0.000000, 1.000000
20, 1314328353.000000, 0.982956, -0.183449, 0.012004, 7.048840, 0.183131, 0.982803, 0.023690, -0.172890, -0.016143, -0.021087, 0.999647, 2.062850, 0.000000, 0.000000, 0.000000, 1.000000
21, 1314328447.000000, 0.995793, -0.091343, 0.007271, 7.466775, 0.091257, 0.995762, 0.011369, -0.084608, -0.008279, -0.010658, 0.999909, 2.128950, 0.000000, 0.000000, 0.000000, 1.000000
22, 1314328564.000000, 0.978527, -0.206096, 0.003123, 7.858802, 0.206032, 0.978440, 0.014408, 0.072190, -0.006024, -0.013455, 0.999892, 2.190846, 0.000000, 0.000000, 0.000000, 1.000000
23, 1314328702.000000, 0.996529, -0.080912, 0.019586, 8.336859, 0.081051, 0.996690, -0.006382, 0.138927, -0.019005, 0.007948, 0.999788, 2.262001, 0.000000, 0.000000, 0.000000, 1.000000
24, 1314328857.000000, 0.969040, -0.246340, 0.016709, 8.690903, 0.246211, 0.969171, 0.009375, 0.190653, -0.018504, -0.004971, 0.999816, 2.313453, 0.000000, 0.000000, 0.000000, 1.000000
25, 1314328949.000000, 0.665229, -0.745107, -0.047819, 9.085654, 0.745800, 0.660077, 0.089894, 0.304186, -0.035416, -0.095464, 0.994803, 2.372240, 0.000000, 0.000000, 0.000000, 1.000000
26, 1314329061.000000, 0.279610, -0.954037, -0.107846, 9.255440, 0.955490, 0.265493, 0.128655, 0.631862, -0.094110, -0.139019, 0.985808, 2.406574, 0.000000, 0.000000, 0.000000, 1.000000
27, 1314329235.000000, 0.152252, -0.980239, -0.126300, 9.364769, 0.981006, 0.134342, 0.139928, 1.175461, -0.120196, -0.145205, 0.982073, 2.432744, 0.000000, 0.000000, 0.000000, 1.000000
28, 1314329346.000000, 0.073056, -0.987213, -0.141683, 9.491880, 0.989272, 0.053711, 0.135853, 1.777264, -0.126506, -0.150088, 0.980546, 2.464781, 0.000000, 0.000000, 0.000000, 1.000000
29, 1314329444.000000, 0.076408, -0.987576, -0.137315, 9.524649, 0.989334, 0.057963, 0.133631, 2.310428, -0.124011, -0.146061, 0.981472, 2.481874, 0.000000, 0.000000, 0.000000, 1.000000
30, 1314329542.000000, 0.051913, -0.988434, -0.142485, 9.577708, 0.991508, 0.033979, 0.125533, 2.915850, -0.119239, -0.147792, 0.981804, 2.507772, 0.000000, 0.000000, 0.000000, 1.000000
